,RAL_879,RAL_358,RAL_374,RAL_371,RAL_352,RAL_427,RAL_195,RAL_441,RAL_340,RAL_850,RAL_443,RAL_380,RAL_859,RAL_750,RAL_852,RAL_272,RAL_796,RAL_843,RAL_492,RAL_787,RAL_861,RAL_855,RAL_712,RAL_584,RAL_149,RAL_377,RAL_315,RAL_810,RAL_737,RAL_360,RAL_181,RAL_897,RAL_900,RAL_908,RAL_857,RAL_440,RAL_83,RAL_882,RAL_514,RAL_837,RAL_409,RAL_399,RAL_771,RAL_884,RAL_805,RAL_59,RAL_808,RAL_28,RAL_563,RAL_45,RAL_319,RAL_913,RAL_849,RAL_176,RAL_819,RAL_109,RAL_301,RAL_161,RAL_554,RAL_26,RAL_235,RAL_85,RAL_426,RAL_783,RAL_332,RAL_398,RAL_350,RAL_801,RAL_907,RAL_393,RAL_513,RAL_486,RAL_738,RAL_385,RAL_303,RAL_237,RAL_73,RAL_105,RAL_321,RAL_776,RAL_367,RAL_642,RAL_304,TAXA
35,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,46.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.75,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,c__Fusobacteriia; o__Fusobacteriales
36,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,c__Gammaproteobacteria; o__Aeromonadales
37,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,c__Gammaproteobacteria; o__Cardiobacteriales
38,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,c__Gammaproteobacteria; o__Legionellales
39,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,c__Gammaproteobacteria; o__Methylococcales
40,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,c__Gammaproteobacteria; o__Oceanospirillales
41,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,15.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.25,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,c__Gammaproteobacteria; o__Pasteurellales
42,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,c__Sphingobacteriia; o__Sphingobacteriales
43,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,c__Thermoleophilia; o__Gaiellales
44,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,c__Verrucomicrobiae; o__Verrucomicrobiales
45,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,c__[Cloacamonae]; o__[Cloacamonales]
46,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,c__[Saprospirae]; o__[Saprospirales]
