source_name	source_qid	parity	target_name	target_qid	target_uid	reason	witness	
Campanula involucrata	gbif:5410324	-	Campanula petraea	ncbi:239417	210675	noinfo	null

Campanula pallida	gbif:5411542	=>	Campanula pallida	ncbi:1241138	219750	same/primary-name	Campanula pallida
Campanula pallida	gbif:5411542	-	Campanula ramulosa	ncbi:45327	462874	noinfo	null

Campanula carpatica	gbif:5410826	=>	Campanula carpatica	ncbi:171910	372039	same/primary-name	Campanula carpatica
Campanula carpatica	gbif:5410826	-	Campanula carpatica subsp. turbinata	ncbi:1241010	601243	noinfo	null

Campanula phrygia	gbif:5411095	=>	Campanula phrygia	ncbi:1241151	834338	same/primary-name	Campanula phrygia
Campanula phrygia	gbif:5411095	-	Campanula ramosissima	ncbi:1090606	263493	noinfo	null

Platycodon grandiflorus	gbif:3164340	=>	Platycodon grandiflorus	ncbi:94286	141088	same/primary-name	Platycodon grandiflorus
Platycodon grandiflorus	gbif:3164340	-	Platycodon grandiflorus f. albiflorus	ncbi:1049787	39970	noinfo	null

Clermontia persicifolia	gbif:5407794	=>	Clermontia persicifolia	ncbi:138105	708035	same/primary-name	Clermontia persicifolia
Clermontia persicifolia	gbif:5407794	-	Lobelia persicifolia	ncbi:1795064	3892943	noinfo	null

Cyclocodon lancifolius	gbif:3164997	=>	Cyclocodon lancifolius	ncbi:1392613	3893918	same/primary-name	Cyclocodon lancifolius
Cyclocodon lancifolius	gbif:3164997	-	Cyclocodon lancifolium	ncbi:421875	428444	noinfo	null

Jasione maritima	gbif:3165764	=>	Jasione maritima	ncbi:239451	117709	same/primary-name	Jasione maritima
Jasione maritima	gbif:3165764	-	Jasione maritima var. sabularia	ncbi:353244	598469	noinfo	null

Wahlenbergia capensis	gbif:5413612	=>	Wahlenbergia capensis	ncbi:379311	658020	same/primary-name	Wahlenbergia capensis
Wahlenbergia capensis	gbif:5413612	-	Roella decurrens	ncbi:1241229	664222	noinfo	null

Wahlenbergia virgata	gbif:5413932	=>	Wahlenbergia virgata	ncbi:1005624	69741	same/primary-name	Wahlenbergia virgata
Wahlenbergia virgata	gbif:5413932	-	Wahlenbergia juncea	ncbi:1348709	3892378	noinfo	null

Cyananthus incanus	gbif:5409726	=>	Cyananthus incanus	ncbi:1045293	307084	same/primary-name	Cyananthus incanus
Cyananthus incanus	gbif:5409726	-	Cyananthus incanus subsp. petiolatus	ncbi:1334532	5144403	noinfo	null

Cyanea hirtella	gbif:5412100	=>	Cyanea hirtella	ncbi:360846	970558	same/primary-name	Cyanea hirtella
Cyanea hirtella	gbif:5412100	-	Cyanea degeneriana	ncbi:138110	184307	noinfo	null

Cyanea degeneriana	gbif:7782144	=>	Cyanea degeneriana	ncbi:138110	184307	same/primary-name	Cyanea degeneriana
Cyanea degeneriana	gbif:7782144	-	Cyanea floribunda	ncbi:360845	970552	noinfo	null

Peracarpa carnosa	gbif:3167058	=>	Peracarpa carnosa	ncbi:1049785	604883	same/primary-name	Peracarpa carnosa
Peracarpa carnosa	gbif:3167058	-	Peracarpa carnosa var. circaeoides	ncbi:1051076	816094	noinfo	null

Downingia ornatissima	gbif:3166298	=>	Downingia ornatissima	ncbi:104527	977491	same/primary-name	Downingia ornatissima
