name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Sicyocodon	|	590452	|	synonym	|	Sicyocodon (synonym for Campanula)	|	gbif:3161935	|	
Neocodon	|	590452	|	synonym	|	Neocodon (synonym for Campanula)	|	gbif:3161935	|	
Fedorovia	|	590452	|	synonym	|	Fedorovia (synonym for Campanula)	|	gbif:3161935	|	
Rotantha	|	590452	|	synonym	|	Rotantha (synonym for Campanula)	|	gbif:3161935	|	
Mzymtella	|	590452	|	synonym	|	Mzymtella (synonym for Campanula)	|	gbif:3161935	|	
Campanulastrum	|	590452	|	synonym	|	Campanulastrum (synonym for Campanula)	|	gbif:3161935	|	
Annaea	|	590452	|	synonym	|	Annaea (synonym for Campanula)	|	gbif:3161935	|	
Hyssaria	|	590452	|	synonym	|	Hyssaria (synonym for Campanula)	|	gbif:3161935	|	
Sicyodon	|	590452	|	synonym	|	Sicyodon (synonym for Campanula)	|	gbif:3161935	|	
Rapuntium	|	590452	|	synonym	|	Rapuntium (synonym for Campanula)	|	gbif:3161935	|	
Sachokiella	|	590452	|	synonym	|	Sachokiella (synonym for Campanula)	|	gbif:3161935	|	
Symphiandra	|	590452	|	synonym	|	Symphiandra (synonym for Campanula)	|	gbif:3161935	|	
Tracheliopsis	|	590452	|	synonym	|	Tracheliopsis (synonym for Campanula)	|	gbif:3161935	|	
Azorina	|	590452	|	synonym	|	Azorina (synonym for Campanula)	|	gbif:3161935	|	
Trematocarpus	|	920076	|	synonym	|	Trematocarpus (synonym for Trematolobelia)	|	gbif:3161791	|	
Leptocodon	|	299631	|	synonym	|	Leptocodon (synonym for Treichelia)	|	gbif:3161902	|	
Phyllocharis	|	3893902	|	synonym	|	Phyllocharis (synonym for Ruthiella)	|	gbif:3166250	|	
Acarpha	|	1052535	|	synonym	|	Acarpha (synonym for Boopis)	|	gbif:7274507	|	
Leucocera	|	821066	|	synonym	|	Leucocera (synonym for Calycera)	|	gbif:3170563	|	
Calicera	|	821066	|	synonym	|	Calicera (synonym for Calycera)	|	gbif:3170563	|	
Calogyne	|	301424	|	synonym	|	Calogyne (synonym for Goodenia)	|	gbif:7262160	|	
Symphyobasis	|	301424	|	synonym	|	Symphyobasis (synonym for Goodenia)	|	gbif:7262160	|	
Catospermum	|	301424	|	synonym	|	Catospermum (synonym for Goodenia)	|	gbif:7262160	|	
Catosperma	|	301424	|	synonym	|	Catosperma (synonym for Goodenia)	|	gbif:7262160	|	
Neogoodenia	|	301424	|	synonym	|	Neogoodenia (synonym for Goodenia)	|	gbif:7262160	|	
Leschenaultia	|	649894	|	synonym	|	Leschenaultia (synonym for Lechenaultia)	|	gbif:7262162	|	
Antherostylis	|	179152	|	synonym	|	Antherostylis (synonym for Velleia)	|	gbif:7262287	|	
Nigromnia	|	126701	|	synonym	|	Nigromnia (synonym for Scaevola)	|	gbif:3158673	|	
Lobelia	|	126701	|	synonym	|	Lobelia (synonym for Scaevola)	|	gbif:3158673	|	
Hecastocleoideae	|	139111	|	synonym	|	Hecastocleoideae (synonym for Hecastocleidoideae)	|	ncbi:219094	|	
Asteraceae Espinoza5656	|	4727082	|	synonym	|	Asteraceae Espinoza5656 (synonym for Asteraceae sp. Espinoza5656)	|	ncbi:1123480	|	
Asteraceae Espinoza5657	|	4727083	|	synonym	|	Asteraceae Espinoza5657 (synonym for Asteraceae sp. Espinoza5657)	|	ncbi:1123481	|	
Asteraceae Espinoza5721	|	4727081	|	synonym	|	Asteraceae Espinoza5721 (synonym for Asteraceae sp. Espinoza5721)	|	ncbi:1123483	|	
Asteraceae Espinoza5707	|	4727080	|	synonym	|	Asteraceae Espinoza5707 (synonym for Asteraceae sp. Espinoza5707)	|	ncbi:1123482	|	
Asteraceae jorge141	|	4727079	|	synonym	|	Asteraceae jorge141 (synonym for Asteraceae sp. jorge141)	|	ncbi:1123484	|	
Asteraceae A.guadamuz339	|	4727094	|	synonym	|	Asteraceae A.guadamuz339 (synonym for Asteraceae sp. A.guadamuz339)	|	ncbi:1123479	|	
Brachyonostylum	|	4727571	|	synonym	|	Brachyonostylum (synonym for Brachionostylum)	|	gbif:3094644	|	
Oxytenia	|	4728132	|	synonym	|	Oxytenia (synonym for Euphrosyne)	|	gbif:3099628	|	
Chorisiva	|	4728132	|	synonym	|	Chorisiva (synonym for Euphrosyne)	|	gbif:3099628	|	
Cyclachaena	|	4728132	|	synonym	|	Cyclachaena (synonym for Euphrosyne)	|	gbif:3099628	|	
Leuciva	|	4728132	|	synonym	|	Leuciva (synonym for Euphrosyne)	|	gbif:3099628	|	
Haenselera	|	4727729	|	homotypic synonym	|	Haenselera (synonym for Rothmaleria)	|	gbif:3099974	|	
Tuberostyles	|	4727449	|	synonym	|	Tuberostyles (synonym for Tuberostylis)	|	gbif:3101388	|	
×Centauserratula J. Arènes, 1952	|	9006058	|	spelling variant	|	×Centauserratula J. Arènes, 1952 (synonym for ×Centauserratula J. Arenes, 1952)	|	gbif:6446043	|	
Alcantara	|	4728126	|	synonym	|	Alcantara (synonym for Xerxes)	|	gbif:3100285	|	
Schaetzellia	|	4727731	|	synonym	|	Schaetzellia (synonym for Macvaughiella)	|	gbif:3099979	|	
Geblera	|	4727420	|	homotypic synonym	|	Geblera (synonym for Crepidifolium)	|	gbif:7914887	|	
Steleocodon	|	4728200	|	synonym	|	Steleocodon (synonym for Phalacraea)	|	gbif:3143071	|	
Leto	|	4727980	|	synonym	|	Leto (synonym for Helogyne)	|	gbif:5393507	|	
