source_name	source_qid	parity	target_name	target_qid	target_uid	reason	witness	
Campanula alliariifolia	ott:245756	=>	Campanula alliariifolia	ncbi:239396	245756	same/primary-name	Campanula alliariifolia
Campanula pendula	ott:1002872	=>	Campanula pendula	ncbi:239473	1002872	same/parent+parent	Campanulaceae|Campanulaceae
Otanthus	ncbi:133238	=>	Otanthus	ncbi:133238	195138	new/import	null
Achillea	gbif:3119995	-	Otanthus	ncbi:133238	195138	noinfo/disjoint	|Achillea clypeolata
Achillea	gbif:3119995	-	Leucocyclus	ncbi:301870	616332	noinfo/disjoint	|Achillea clypeolata
Achillea	gbif:3119995	=>	Achillea	ncbi:13328	828101	same/is-subsumed-by	null
Symphyotrichum vahlii	ncbi:227206	=>	Symphyotrichum vahlii	ncbi:227206	358197	new/tip	null
Pseudogynoxys	ncbi:109583	=>	Pseudogynoxys	ncbi:109583	3024	new/import	null
Wahlenbergia capensis	ncbi:379311	=>	Wahlenbergia capensis	ncbi:379311	658020	new/tip	null
Roella decurrens	ott:664222	-	Wahlenbergia capensis	ncbi:379311	658020	noinfo	null
Roella decurrens	ott:664222	=>	Roella decurrens	ncbi:1241229	664222	same/primary-name	Roella decurrens
Wahlenbergia capensis	ott:658020	=>	Wahlenbergia capensis	ncbi:379311	658020	same/parent+parent	Campanulaceae|Campanulaceae
Leptocodon hirsutus	ncbi:1334537	=>	Leptocodon hirsutus	ncbi:1334537	3893782	new/tip	null
Codonopsis hongii	gbif:5412931	-	Leptocodon hirsutus	ncbi:1334537	3893782	noinfo	null
Codonopsis hongii	gbif:5412931	-	Pseudocodon hirsutus	ncbi:1392598	5232468	noinfo	null
Codonopsis hongii	gbif:5412931	=>	Codonopsis hongii	ncbi:1678351	9006277	same/primary-name	Codonopsis hongii
Leptocodon hirsutus	ott:5144400	-		null	-	lumped	null
Tragopogon ruber	ncbi:285208	=>	Tragopogon ruber	ncbi:285208	471480	new/tip	null
Lessingia leptoclada	ncbi:147790	=>	Lessingia leptoclada	ncbi:147790	777128	new/tip	null
Leuciva	gbif:3097714	=>	Leuciva	gbif:3097714	4727704	new/tip	null
Leuciva	ott:4727704	-		null	-	newly-hidden	null
Downingia ornatissima var. eximia	ncbi:136368	=>	Downingia ornatissima var. eximia	ncbi:136368	1065891	new/tip	null
Downingia ornatissima	gbif:3166298	-	Downingia ornatissima var. eximia	ncbi:136368	1065891	noinfo	null
Downingia ornatissima	gbif:3166298	=>	Downingia ornatissima	ncbi:104527	977491	same/primary-name	Downingia ornatissima
Doellingeria	ncbi:72926	=>	Doellingeria	ncbi:72926	431551	new/import	null
Campanula rumeliana	ncbi:239438	=>	Campanula rumeliana	ncbi:239438	270858	new/import	null
Chromolaena	ncbi:13420	=>	Chromolaena	ncbi:13420	692383	new/import	null
Encelia californica	ncbi:183026	=>	Encelia californica	ncbi:183026	528984	new/tip	null
Adenophora triphylla	ncbi:187269	=>	Adenophora triphylla	ncbi:187269	817781	new/import	null
Adenophora verticillata var. hirsuta	ott:181765	-	Adenophora triphylla	ncbi:187269	817781	noinfo	null
Adenophora verticillata var. hirsuta	ott:181765	=>	Adenophora verticillata var. hirsuta	ncbi:1049769	181765	same/primary-name	Adenophora verticillata var. hirsuta
Adenophora triphylla var. japonica	ott:526871	-	Adenophora triphylla	ncbi:187269	817781	noinfo	null
Adenophora triphylla var. japonica	ott:526871	=>	Adenophora triphylla var. japonica	ncbi:265775	526871	same/primary-name	Adenophora triphylla var. japonica
Adenophora verticillata	ott:181763	-	Adenophora triphylla	ncbi:187269	817781	noinfo/disjoint	|Adenophora verticillata var. hirsuta
Adenophora verticillata	ott:181763	=>	Adenophora verticillata	ncbi:1049768	181763	same/is-subsumed-by	null
Moschopsis monocephala	gbif:3906690	=>	Moschopsis monocephala	gbif:3906690	9006105	new/tip	null
		-	Moschopsis monocephala	gbif:3906690	9006105	addition	null
