id	replacement
5325510	864170
3894069	888052
3894031	465886
3895366	658318
5144412	985174
5144400	3893782
5794339	81124
5541658	933308
5541656	933319
5541654	357692
5541652	933308
5541651	933308
5541665	288131
5541661	933308
5541660	3899656
5794659	290596
5541679	1062344
5541687	507007
5541688	507007
5541685	1062344
5541681	507007
5541682	507007
5541680	3900012
5264058	409712
3895256	812151
5794683	1022083
5541638	909464
5541636	859735
5541637	438177
5541634	859735
5541649	269346
5541647	269346
5541645	269346
5541643	269346
5794675	239833
5541641	334936
5541642	334936
5541640	334936
5144208	1068547
5144263	510065
1026265	29196
5794582	1019547
5541725	371806
3894528	1003034
793959	288292
3893211	954420
3893212	343255
3894535	295224
863443	212025
3893291	908025
597719	167197
728157	726015
3894450	560345
3893129	3893128
3894486	265948
3893143	974022
3894476	432357
3894441	792067
3894444	350270
5336743	346037
5336742	346037
3893182	513705
3896927	288832
3896945	400689
3896941	443536
3896903	359947
1066791	451674
3893039	104519
3894307	827044
3894301	202736
3896980	1095920
3896979	1095906
3896971	1095918
3896970	287759
3896973	1095916
3896972	809708
3894383	82717
3894374	484226
3893046	3892903
428752	3138
3893062	869808
3894398	85408
5325942	896514
3896804	678384
3896827	137931
851855	588595
3896883	650818
3894214	372390
3896843	735686
3896845	735683
3896844	827561
3896838	451176
3896830	1078375
3896834	212028
3896857	765218
3896853	475551
3894264	391028
607379	175505
7197	7184
5537300	540725
5537303	947063
5537302	858438
5537308	814495
5537307	540725
5537306	540725
5537305	325468
5537309	540725
4728199	284898
5741010	371819
4728189	272111
4728172	7333
4728173	588595
4728160	183714
5537390	872344
3899871	243048
5537394	414839
5537393	414839
5537399	3898763
5537397	929828
4728116	685030
999371	20465
3899860	769536
4728101	139349
3898563	83905
3898567	747350
4728159	422640
3898520	1076649
761940	212025
761944	451166
735681	212025
4728129	569335
735685	212025
735684	212025
5537311	540725
5537310	540725
5537315	814493
5537314	532467
5537313	112085
5537312	814491
5537318	1067058
5537317	858452
5537316	929824
5537322	186496
5537320	1067058
5537326	186508
5537325	511448
