id	size	name	sourceinfo	reason	witness	replacement	status
3894896	1	Taraxacum valesiacum	gbif:5694668	id-retired/name-retired		*		
3894897	1	Taraxacum schlobarum	gbif:5695502	id-retired/name-retired		*		
3894898	1	Taraxacum subleucopodum	gbif:5695041	id-retired/name-retired		*		
3894900	1	Taraxacum helveticum	gbif:5697882	id-retired/name-retired		*		
3894901	1	Taraxacum sphenolobum	gbif:5695251	id-retired/name-retired		*		
3894902	1	Taraxacum sphaeroides	gbif:5695257	id-retired/name-retired		*		
3894903	1	Taraxacum pseudohoppeanum	gbif:5696044	id-retired/name-retired		*		
3894904	1	Taraxacum pseudohamatum	gbif:5696049	id-retired/name-retired		*		
3894905	1	Taraxacum sundbergii	gbif:5394253	id-retired/name-retired		*		
3894906	1	Taraxacum pseudolandmarkii	gbif:5696041	id-retired/name-retired		*		
3894918	1	Taraxacum subarmatum	gbif:5695134	id-retired/name-retired		*		
3894919	1	Taraxacum vinosum	gbif:5694618	id-retired/name-retired		*		
3894921	1	Taraxacum languidum	gbif:5697452	id-retired/name-retired		*		
3894922	1	Taraxacum subaurosulum	gbif:5695131	id-retired/name-retired		*		
3894923	1	Taraxacum albertshoferi	gbif:5699419	id-retired/name-retired		*		
3894924	1	Taraxacum nemorum	gbif:5696865	id-retired/name-retired		*		
3894925	1	Taraxacum nematolobum	gbif:5696868	id-retired/name-retired		*		
3894926	1	Taraxacum undulatiflorum	gbif:5694717	id-retired/name-retired		*		
3894927	1	Taraxacum subdahlstedtii	gbif:5695116	id-retired/name-retired		*		
3894928	1	Taraxacum brakelii	gbif:5698968	id-retired/name-retired		*		
3894920	1	Taraxacum cestodes	gbif:5698805	id-retired/name-retired		*		
3894907	1	Taraxacum pseudohirtellum	gbif:5696047	id-retired/name-retired		*		
3894908	1	Taraxacum glowackii	gbif:5698045	id-retired/name-retired		*		
3894909	1	Taraxacum superbum	gbif:5694932	id-retired/name-retired		*		
3894910	1	Taraxacum galeatum	gbif:5394510	id-retired/name-retired		*		
3826	13	Argophyllaceae	ncbi:57707	newly-hidden[incertae_sedis]	Argophyllaceae	=		
3894911	1	Taraxacum neoaellenii	gbif:5696863	id-retired/name-retired		*		
3894912	1	Taraxacum occidentale	gbif:5696756	id-retired/name-retired		*		
3894913	1	Taraxacum landmarkii	gbif:5697456	id-retired/name-retired		*		
3894914	1	Taraxacum vauclusense	gbif:5694653	id-retired/name-retired		*		
3894915	1	Taraxacum ochraceistigmatum	gbif:5696751	id-retired/name-retired		*		
3894916	1	Taraxacum vastisectiforme	gbif:5694655	id-retired/name-retired		*		
3894917	1	Taraxacum languidulum	gbif:5697453	id-retired/name-retired		*		
3894745	1	Cirsium chium	gbif:3113699	id-retired/name-retired		*		
3894748	1	Cirsium engelmannii	gbif:3112849	id-retired/name-retired		*		
